"LANGUAGE","Español","Language name (in native language)."
"MOD_DESCRIPTION","Selecciona qué vehículos pueden generarse en cualquier edificio","Mod description, visibile in content manager."
"MOD_NAME","Selector de vehículos","Mod name displayed in-game in tooltips and labels."
"HEARSE","Carros fúnebres","Vehicle selection title - deathcare collection vehicles."
"DEAD_TRANSFER","Traslados a otras instalaciones","Vehicle selection title - deathcare transfer vehicles (e.g. emptying cemetaries)."
"AMBULANCE","Ambulancias","Vehicle selection title - ambulance vehicles."
"HELI_MED","Helicópteros médicos","Vehicle selection title - medical helicopter vehicles."
"HELI_FIRE","Helicópteros bomberos","Vehicle selection title - firefighting helicopter vehicles."
"FIRETRUCK","Camiones de Bomberos","Vehicle selection title - firefighting ground vehicles."
"WATERPUMP","Bombeo de agua","Vehicle selection title - water pumping vehicles."
"DISASTER","Vehículos terrestres de respuesta ante desastres","Vehicle selection title - disaster response ground vehicles."
"EVACUATION","Evacuation buses","Vehicle selection title - shelter evacuation buses."
"HELI_DISASTER","Helicópteros de respuesta ante desastres","Vehicle selection title - disaster response helicopters."
"HELI_POLICE","Helicópteros policiales","Vehicle selection title - police helicopter vehicles."
"HELI_PRISON","Helicópteros de Prisión","Vehicle selection title - prisoner transfer helicopter vehicles (only with Prison Helicopter mod)."
"POLICECAR","Coches policiales","Vehicle selection title - police ground vehicles."
"PRISONVAN","Traslado de prisioneros","Vehicle selection title - prisoner transfer ground vehicles."
"BANK_TRUCK","Cash transport","Vehicle selection title - bank cash transfer vehicles."
"CARGO_TRUCK","Transporte de mercancías","Vehicle selection title - cargo transport ground vehicles."
"ROAD_MAINT","Mantenimiento de carreteras","Vehicle selection title - road maintenance vehicles."
"ROAD_SNOW","Limpieza de nieve","Vehicle selection title - snow clearing vehicles."
"PARK_MAINT","Mantenimiento de parques","Vehicle selection title - park maintenance vehicles."
"MAIL_COLLECT","Recolección de correo","Vehicle selection title - post office mail collection vehicles (post vans)."
"MAIL_UNSORTED","Transferencia de correo sin ordenar","Vehicle selection title - post office unsorted mail transfer vehicles (post trucks), typically transferring from post offices to sorting depots."
"MAIL_SORTED","Transferencia de correo ordenada","Vehicle selection title - post office sorted mail transfer vehicles (post trucks), typically transferring from sorting depots to post offices."
"MAIL_EXPORT","Transferencia de correo interurbano","Vehicle selection title - post office intercity mail transfer vehicles (post trucks)."
"TAXI","Taxis","Vehicle selection title - taxi vehicles."
"TRAIN_CARGO","Trenes de mercancias","Vehicle selection title - cargo trains."
"TRAIN_PASSENGER","Trenes interurbanos de pasajeros","Vehicle selection title - passenger trains."
"GARBAGE_COLLECTION","Recolección de basura","Vehicle selection title - garbage collection vehicles"
"GARBAGE_TRANSFER","Traslado de residuos","Vehicle selection title - garbage transfer vehicles (e.g. emptying landfills)."
"FISH_TRUCK","Transporte pesquero","Vehicle selection title - fish transport trucks."
"FISH_BOAT","Botes pesqueros","Vehicle selection title - fishing boats."
"AIR_PASSENGER","Aviones de pasajeros","Vehicle selection title - passenger planes."
"AIR_CARGO","avión de carga","Vehicle selection title - cargo aircraft."
"AIR_LIGHT","Aeronaves ligeras","Vehicle selection title - light aircraft (aviation club)."
"SHIP_PASSENGER","Buques de Pasajeros","Vehicle selection title - passenger ships."
"SHIP_CARGO","Buques de carga","Vehicle selection title - cargo ships."
"BUS_INTERCITY","Autobuses interurbanos","Vehicle selection title - intercity buses."
"CABLE_CAR","Teleféricos","Vehicle selection title - cable cars."
"LOGS","Productos forestales","Industrial transport vehicle selection title - logs (zoned forestry resource)."
"LUMBER","Madera","Industrial transport vehicle selectiawon title - lumber (zoned forestry processors)."
"GRAIN","Productos agrícolas","Industrial transport vehicle selection title - grain (zoned farming resource)."
"FOOD","Comida ","Industrial transport vehicle selection title - food (zoned farming processors)."
"OIL","Productos petroleros","Industrial transport vehicle selection title - oil (zoned oil resource)."
"PETROL","Petróleo","Industrial transport vehicle selection title - petrol (zoned oil processors)."
"ORE","Productos mineros","Industrial transport vehicle selection title - ore (zoned mining resource)."
"COAL","Carbón","Industrial transport vehicle selection title - coal (zoned mining processors)."
"ADD_VEHICLE_TIP","Añadir este vehículo a la lista de vehículos permitidos","Tooltip for 'add vehicle' button."
"ADD_ALL_TIP","Añadir todos los vehículos elegibles a la lista de vehículos permitidos","Tooltip for 'add all vehicles' button."
"REMOVE_VEHICLE_TIP","Eliminar este vehículo de la lista de vehículos permitidos","Tooltip for 'remove vehicle' button."
"REMOVE_ALL_TIP","Eliminar todos los vehículos de la lista de vehículos permitidos","Tooltip for 'remove all vehicles' button."
"AVAILABLE_VEHICLES","Vehículos disponibles","Heading."
"SELECTED_VEHICLES","Vehículos seleccionados","Heading."
"COPY_TIP","Copiar la selección de vehículos de este edificio al portapapeles","Tooltip for 'copy' button."
"PASTE_TIP","Pegar la selección de vehículos desde el portapapeles","Tooltip for 'paste' button."
"COPY_BUILDING_TIP","Copia la selección de vehículos de este edificio a todos los demás edificios del mismo tipo.","Tooltip for 'copy to other buildings' button."
"COPY_DISTRICT_TIP","Copia la selección de vehículos de este edificio a todos los demás edificios del mismo tipo en el mismo distrito y/o área.","Tooltip for 'copy to other buildings' button."
"ZOOM_BUILDING","Zoom al edificio","Tooltop for 'zoom to selected building' button."
"NO_DISTRICT","No hay distrito local","Displayed when selected building has no district."
"ANY_VEHICLE","Cualquier vehiculo","Displayed when no specific vehicle is selected."
"TLM_VEHICLE","Usando Transport Line Manager","Displayed when no specific vehicle is selected and the Transport Line Manager mod is active."
