"LANGUAGE","Italiano","Language name (in native language)."
"MOD_DESCRIPTION","Selezionare quali veicoli possono spawnare da ciascun edificio","Mod description, visibile in content manager."
"MOD_NAME","Selettore Veicoli","Mod name displayed in-game in tooltips and labels."
"HEARSE","Carro Funebre","Vehicle selection title - deathcare collection vehicles."
"DEAD_TRANSFER","Trasferire verso altre strutture","Vehicle selection title - deathcare transfer vehicles (e.g. emptying cemetaries)."
"AMBULANCE","Ambulanze","Vehicle selection title - ambulance vehicles."
"HELI_MED","Elicotteri medici","Vehicle selection title - medical helicopter vehicles."
"HELI_FIRE","Elicotteri antincendio","Vehicle selection title - firefighting helicopter vehicles."
"FIRETRUCK","Camion dei Pompieri","Vehicle selection title - firefighting ground vehicles."
"WATERPUMP","Pompaggio acqua","Vehicle selection title - water pumping vehicles."
"DISASTER","Veicoli terrestri di risposta alle catastrofi","Vehicle selection title - disaster response ground vehicles."
"EVACUATION","Autobus di evacuazione","Vehicle selection title - shelter evacuation buses."
"HELI_DISASTER","Elicotteri di risposta alle catastrofi","Vehicle selection title - disaster response helicopters."
"HELI_POLICE","Elicotteri della polizia","Vehicle selection title - police helicopter vehicles."
"HELI_PRISON","Elicotteri della prigione","Vehicle selection title - prisoner transfer helicopter vehicles (only with Prison Helicopter mod)."
"POLICECAR","Auto della polizia","Vehicle selection title - police ground vehicles."
"PRISONVAN","Trasferimento dei prigionieri","Vehicle selection title - prisoner transfer ground vehicles."
"BANK_TRUCK","Trasporto di contanti","Vehicle selection title - bank cash transfer vehicles."
"CARGO_TRUCK","Trasporto merci","Vehicle selection title - cargo transport ground vehicles."
"ROAD_MAINT","Manutenzione stradale","Vehicle selection title - road maintenance vehicles."
"ROAD_SNOW","Sgombero neve","Vehicle selection title - snow clearing vehicles."
"PARK_MAINT","Manutenzione parco","Vehicle selection title - park maintenance vehicles."
"MAIL_COLLECT","Raccolta posta","Vehicle selection title - post office mail collection vehicles (post vans)."
"MAIL_UNSORTED","Trasferimento posta non smistata","Vehicle selection title - post office unsorted mail transfer vehicles (post trucks), typically transferring from post offices to sorting depots."
"MAIL_SORTED","Trasferimento posta smistata","Vehicle selection title - post office sorted mail transfer vehicles (post trucks), typically transferring from sorting depots to post offices."
"MAIL_EXPORT","Trasferimento posta interurbano","Vehicle selection title - post office intercity mail transfer vehicles (post trucks)."
"TAXI","Taxi","Vehicle selection title - taxi vehicles."
"TRAIN_CARGO","Treni merci","Vehicle selection title - cargo trains."
"TRAIN_PASSENGER","Treni passeggeri interurbani","Vehicle selection title - passenger trains."
"GARBAGE_COLLECTION","Raccolta spazzatura","Vehicle selection title - garbage collection vehicles"
"GARBAGE_TRANSFER","Trasferimento rifiuti","Vehicle selection title - garbage transfer vehicles (e.g. emptying landfills)."
"FISH_TRUCK","Trasporto pesce","Vehicle selection title - fish transport trucks."
"FISH_BOAT","Pescherecci","Vehicle selection title - fishing boats."
"AIR_PASSENGER","Aerei passeggeri","Vehicle selection title - passenger planes."
"AIR_CARGO","Aerei cargo","Vehicle selection title - cargo planes."
"AIR_LIGHT","Aerei leggeri","Vehicle selection title - light aircraft (aviation club)."
"SHIP_PASSENGER","Navi passeggeri","Vehicle selection title - passenger ships."
"SHIP_CARGO","Navi cargo","Vehicle selection title - cargo ships."
"BUS_INTERCITY","Bus interurbani","Vehicle selection title - intercity buses."
"CABLE_CAR","Funivia","Vehicle selection title - cable cars."
"LOGS","Prodotti forestali","Industrial transport vehicle selection title - logs (zoned forestry resource)."
"LUMBER","Legname","Industrial transport vehicle selectiawon title - lumber (zoned forestry processors)."
"GRAIN","Prodotti agricoli","Industrial transport vehicle selection title - grain (zoned farming resource)."
"FOOD","Cibo ","Industrial transport vehicle selection title - food (zoned farming processors)."
"OIL","Prodotti petroliferi","Industrial transport vehicle selection title - oil (zoned oil resource)."
"PETROL","Petrolio","Industrial transport vehicle selection title - petrol (zoned oil processors)."
"ORE","Prodotti minerali","Industrial transport vehicle selection title - ore (zoned mining resource)."
"COAL","Carbone","Industrial transport vehicle selection title - coal (zoned mining processors)."
"ADD_VEHICLE_TIP","Aggiungere questo veicolo all'elenco dei veicoli autorizzati","Tooltip for 'add vehicle' button."
"ADD_ALL_TIP","Aggiungere tutti i veicoli ammissibili all'elenco dei veicoli autorizzati","Tooltip for 'add all vehicles' button."
"REMOVE_VEHICLE_TIP","Rimuovere questo veicolo dall’elenco dei veicoli autorizzati","Tooltip for 'remove vehicle' button."
"REMOVE_ALL_TIP","Rimuovere tutti i veicoli dall'elenco dei veicoli autorizzati","Tooltip for 'remove all vehicles' button."
"AVAILABLE_VEHICLES","Veicoli disponibili","Heading."
"SELECTED_VEHICLES","Veicoli selezionati","Heading."
"COPY_TIP","Copia la selezione del veicolo di questo edificio negli appunti","Tooltip for 'copy' button."
"PASTE_TIP","Incolla la selezione del veicolo dagli appunti","Tooltip for 'paste' button."
"COPY_BUILDING_TIP","Copia la selezione del veicolo di questo edificio in tutti gli altri edifici dello stesso tipo.","Tooltip for 'copy to other buildings' button."
"COPY_DISTRICT_TIP","Copia la selezione del veicolo di questo edificio in tutti gli altri edifici dello stesso tipo nello stesso distretto e/o zona.","Tooltip for 'copy to other buildings' button."
"ZOOM_BUILDING","Zoom per costruire","Tooltop for 'zoom to selected building' button."
"NO_DISTRICT","Nessun distretto locale","Displayed when selected building has no district."
"ANY_VEHICLE","Qualsiasi veicolo","Displayed when no specific vehicle is selected."
"TLM_VEHICLE","Utilizzo di Gestore della Linea di Trasporto","Displayed when no specific vehicle is selected and the Transport Line Manager mod is active."
