"LANGUAGE","简体中文","Language name (in native language)."
"MOD_DESCRIPTION","可以选择从任何建筑中生成哪些车辆","Mod description, visibile in content manager."
"MOD_NAME","载具选择器","Mod name displayed in-game in tooltips and labels."
"HEARSE","灵车","Vehicle selection title - deathcare collection vehicles."
"DEAD_TRANSFER","转到其他设施","Vehicle selection title - deathcare transfer vehicles (e.g. emptying cemetaries)."
"AMBULANCE","救护车","Vehicle selection title - ambulance vehicles."
"HELI_MED","医用直升机","Vehicle selection title - medical helicopter vehicles."
"HELI_FIRE","消防直升机：","Vehicle selection title - firefighting helicopter vehicles."
"FIRETRUCK","消防车","Vehicle selection title - firefighting ground vehicles."
"WATERPUMP","抽水站","Vehicle selection title - water pumping vehicles."
"DISASTER","地面救灾车辆","Vehicle selection title - disaster response ground vehicles."
"HELI_DISASTER","救灾直升机","Vehicle selection title - disaster response helicopters."
"HELI_POLICE","警用直升机","Vehicle selection title - police helicopter vehicles."
"HELI_PRISON","监狱直升机","Vehicle selection title - prisoner transfer helicopter vehicles (only with Prison Helicopter mod)."
"POLICECAR","警车","Vehicle selection title - police ground vehicles."
"PRISONVAN","转移囚犯","Vehicle selection title - prisoner transfer ground vehicles."
"CARGO_TRUCK","货物运输","Vehicle selection title - cargo transport ground vehicles."
"ROAD_MAINT","道路维护","Vehicle selection title - road maintenance vehicles."
"ROAD_SNOW","清雪","Vehicle selection title - snow clearing vehicles."
"PARK_MAINT","公园维护","Vehicle selection title - park maintenance vehicles."
"MAIL_COLLECT","邮件集中点","Vehicle selection title - post office mail collection vehicles (post vans)."
"MAIL_UNSORTED","未排序的邮件传输","Vehicle selection title - post office unsorted mail transfer vehicles (post trucks), typically transferring from post offices to sorting depots."
"MAIL_SORTED","已排序的邮件传输","Vehicle selection title - post office sorted mail transfer vehicles (post trucks), typically transferring from sorting depots to post offices."
"MAIL_EXPORT","城市间邮件传输","Vehicle selection title - post office intercity mail transfer vehicles (post trucks)."
"TAXI","出租车","Vehicle selection title - taxi vehicles."
"TRAIN_CARGO","货运火车","Vehicle selection title - cargo trains."
"TRAIN_PASSENGER","城际列车","Vehicle selection title - passenger trains."
"GARBAGE_COLLECTION","垃圾回收","Vehicle selection title - garbage collection vehicles"
"GARBAGE_TRANSFER","垃圾运输","Vehicle selection title - garbage transfer vehicles (e.g. emptying landfills)."
"FISH_TRUCK","渔业运输","Vehicle selection title - fish transport trucks."
"FISH_BOAT","渔船","Vehicle selection title - fishing boats."
"AIR_PASSENGER","载客飞机","Vehicle selection title - passenger planes."
"AIR_CARGO","货运飞机","Vehicle selection title - cargo planes."
"AIR_LIGHT","轻型飞机","Vehicle selection title - light aircraft (aviation club)."
"SHIP_PASSENGER","载客轮船","Vehicle selection title - passenger ships."
"SHIP_CARGO","货运轮船","Vehicle selection title - cargo ships."
"BUS_INTERCITY","城际公交","Vehicle selection title - intercity buses."
"CABLE_CAR","缆车","Vehicle selection title - cable cars."
"LOGS","林业产品","Industrial transport vehicle selection title - logs (zoned forestry resource)."
"LUMBER","木材","Industrial transport vehicle selectiawon title - lumber (zoned forestry processors)."
"GRAIN","农产品","Industrial transport vehicle selection title - grain (zoned farming resource)."
"FOOD","食品 ","Industrial transport vehicle selection title - food (zoned farming processors)."
"OIL","石油产品","Industrial transport vehicle selection title - oil (zoned oil resource)."
"PETROL","汽油","Industrial transport vehicle selection title - petrol (zoned oil processors)."
"ORE","矿石产品","Industrial transport vehicle selection title - ore (zoned mining resource)."
"COAL","煤矿","Industrial transport vehicle selection title - coal (zoned mining processors)."
"ADD_VEHICLE_TIP","将此载具添加到允许的载具列表","Tooltip for 'add vehicle' button."
"ADD_ALL_TIP","将所有合格车辆添加到允许的载具列表","Tooltip for 'add all vehicles' button."
"REMOVE_VEHICLE_TIP","将此载具从允许的载具列表中移除","Tooltip for 'remove vehicle' button."
"REMOVE_ALL_TIP","将所有合格车辆从允许的载具列表中移除","Tooltip for 'remove all vehicles' button."
"AVAILABLE_VEHICLES","可用载具","Heading."
"SELECTED_VEHICLES","选择的车辆","Heading."
"COPY_TIP","复制此建筑物的车辆选择到剪贴板","Tooltip for 'copy' button."
"PASTE_TIP","从剪贴板粘贴车辆选择","Tooltip for 'paste' button."
"COPY_BUILDING_TIP","将此建筑物的车辆选择复制到所有其他类型的建筑物。","Tooltip for 'copy to other buildings' button."
"COPY_DISTRICT_TIP","将此建筑物的车辆选择复制到同一区域/或地区内所有其他同类建筑物。","Tooltip for 'copy to other buildings' button."
"ZOOM_BUILDING","缩放至建筑","Tooltop for 'zoom to selected building' button."
"NO_DISTRICT","无本地区域","Displayed when selected building has no district."
"ANY_VEHICLE","任何载具","Displayed when no specific vehicle is selected."
"TLM_DISABLE","由于 Transport Lines Manager 模组已启用，此建筑物的 Vehicle Selector 模组已被禁用。 使用 Transport Lines Manager 为这座建筑物设置车辆。","Button tooltip when button is disabled because the TLM mod is active."
